Sample_ID,F1,F2,F3,AX,AY,AZ,GX,GY,GZ,Command
72,0,0,2701,640,9016,13728,24,26,205,WATER
73,0,0,2705,776,8940,13724,-204,114,113,WATER
74,0,0,2703,764,8932,13784,122,12,119,WATER
75,0,0,2702,704,8856,13668,-41,49,48,WATER
76,0,0,0,1936,6800,14808,-53,323,-133,OK
77,0,0,0,1856,6684,15016,-157,56,79,OK
78,0,0,0,1832,6508,15040,-119,58,100,OK
79,0,0,0,1840,6592,14916,57,163,-36,OK
80,0,0,0,1892,6736,15032,-29,70,103,OK
81,0,0,0,1788,6724,14920,143,32,96,OK
82,0,0,0,1908,6864,14720,160,110,134,OK
83,0,0,0,1604,6724,14760,-78,-21,20,OK
84,0,0,0,1856,6852,14912,34,53,50,OK
85,0,0,0,1800,6700,15008,-138,33,9,OK
86,0,0,0,1764,6576,14916,-3,132,63,OK
87,0,0,0,1632,6760,15092,8,1,88,OK
88,0,0,0,1752,6672,14880,22,-10,67,OK
89,0,0,0,1744,6848,14800,50,129,16,OK
90,0,0,0,1776,6948,14904,-56,48,69,OK
91,0,0,0,1704,6568,15004,14,270,10,OK
92,0,0,0,1704,6660,15060,-27,83,19,OK
93,0,0,0,1392,6768,15188,-206,-177,229,OK
94,0,0,0,1572,7028,14864,70,172,38,OK
95,0,0,0,1596,6920,14836,-125,-223,181,OK
96,0,0,0,1384,6932,14816,128,95,39,OK
97,0,0,0,1524,6980,14828,-106,-1,123,OK
98,0,0,0,1560,6908,14968,-294,-204,153,OK
99,0,0,0,1516,7176,14780,160,270,127,OK
100,0,0,0,1532,6876,14868,116,206,-58,OK
101,3139,3410,0,-4788,7140,13464,-6,33,106,FOOD
102,3138,3409,0,-4912,7164,13644,-19,36,96,FOOD
103,3136,3407,0,-4660,7164,13632,116,157,78,FOOD
104,3105,3409,0,-4860,7116,13556,0,46,106,FOOD
105,3099,3410,0,-4812,7144,13556,-9,34,93,FOOD
106,3110,3408,0,-4660,7148,13384,-51,4,95,FOOD
107,3120,3410,0,-4748,7236,13524,-145,-6,69,FOOD
108,3108,3409,0,-4632,7216,13544,22,127,117,FOOD
109,3101,3413,0,-4792,7140,13540,-116,-4,50,FOOD
110,3107,3413,0,-4660,7144,13616,33,115,32,FOOD
111,3115,3408,0,-4916,7216,13616,-39,60,120,FOOD
112,3129,3405,0,-4664,6956,13324,-245,36,39,FOOD
113,3120,3401,0,-4812,6960,13880,-214,252,15,FOOD
114,3122,3398,0,-4672,7032,13488,23,81,-151,FOOD
115,3120,3394,0,-4708,6916,14076,-307,85,206,FOOD
116,3131,3402,0,-4800,7084,13760,13,27,152,FOOD
117,3134,3396,0,-4588,7160,13808,-59,113,-78,FOOD
118,3139,3410,0,-4732,6792,13652,-66,84,114,FOOD
119,3120,3405,0,-4800,6936,13612,-148,-56,21,FOOD
120,3141,3407,0,-4748,7092,13632,95,119,177,FOOD
121,3088,3403,0,-4860,6996,13648,31,193,21,FOOD
122,3133,3398,0,-4844,7004,13664,96,169,59,FOOD
123,3117,3396,0,-4764,7136,13652,-50,36,121,FOOD
124,3099,3406,0,-4768,6976,13904,79,230,96,FOOD
125,3110,3391,0,-4760,7132,13492,163,120,36,FOOD
126,3182,0,2711,-4760,8188,13028,174,-224,63,MEDICINE
127,3184,0,2722,-4648,8616,12528,91,254,-53,MEDICINE
128,3177,0,2711,-4872,8376,12648,-451,-575,717,MEDICINE
129,3185,0,2725,-4596,8136,12728,530,396,-279,MEDICINE
130,3184,0,2721,-4740,8588,12916,226,241,56,MEDICINE
131,3202,0,2715,-5076,8412,12460,51,203,-56,MEDICINE
132,3195,0,2719,-4824,8684,12716,-106,-49,172,MEDICINE
133,3187,0,2736,-4788,8584,12732,-200,86,158,MEDICINE
134,3188,0,2736,-4772,8540,12816,37,152,39,MEDICINE
135,3183,0,2729,-4736,8452,12748,70,183,56,MEDICINE
136,3200,0,2737,-4752,8336,12800,-3,131,49,MEDICINE
137,3197,0,2723,-4700,8476,12708,83,125,-30,MEDICINE
138,3173,0,2736,-4540,8432,12728,-408,-367,449,MEDICINE
139,3175,0,2738,-4680,8476,12940,19,149,99,MEDICINE
140,3136,0,2739,-4432,8476,12916,-30,-23,102,MEDICINE
141,3119,0,2736,-4776,8688,12848,-53,153,276,MEDICINE
142,3087,0,2742,-4428,8400,12792,-24,179,-31,MEDICINE
143,3099,0,2736,-4516,8400,13016,243,407,-57,MEDICINE
144,3109,0,2736,-4636,8128,13232,-636,-822,513,MEDICINE
145,3087,0,2750,-4336,8376,13076,-253,-117,106,MEDICINE
146,3071,0,2745,-4216,8664,13044,-279,-231,195,MEDICINE
147,3125,0,2753,-4348,8244,13176,46,123,49,MEDICINE
148,3134,0,2758,-4320,8116,13092,-15,81,40,MEDICINE
149,3111,0,2752,-3200,9800,12852,186,211,-154,MEDICINE
150,3101,0,2742,-4268,7868,13008,-1435,-1443,192,MEDICINE
151,0,2731,2863,-5656,6124,13868,-16,161,4,RESTROOM
152,0,2715,2855,-5692,6160,13664,88,35,116,RESTROOM
153,0,2725,2867,-5468,6292,13616,-21,127,72,RESTROOM
154,0,2710,2859,-5772,6104,13688,-100,-49,8,RESTROOM
155,0,2723,2864,-5696,6160,13892,-8,109,126,RESTROOM
156,0,2723,2865,-5628,6064,13720,-96,76,48,RESTROOM
157,0,2722,2860,-5704,6056,13488,23,39,-17,RESTROOM
158,0,2726,2864,-5784,6172,13660,109,206,57,RESTROOM
159,0,2722,2860,-5700,6052,13732,-16,36,167,RESTROOM
160,0,2702,2869,-5744,6184,13872,60,126,107,RESTROOM
161,0,2728,2867,-5596,6220,13756,-54,159,171,RESTROOM
162,0,2736,2866,-5672,6176,13760,-88,-38,84,RESTROOM
163,0,2709,2863,-5668,6064,13568,-74,11,0,RESTROOM
164,0,2715,2864,-5760,6144,13724,12,30,48,RESTROOM
165,0,2725,2867,-5768,6108,13688,28,128,135,RESTROOM
166,0,2736,2857,-5512,6188,13728,-36,51,55,RESTROOM
167,0,2731,2869,-5768,6160,13760,-8,70,-23,RESTROOM
168,0,2721,2870,-5584,6036,13652,-43,101,-45,RESTROOM
169,0,2734,2866,-5852,5996,13528,-183,-234,60,RESTROOM
170,0,2727,2864,-5664,6272,13652,-23,208,88,RESTROOM
171,0,2739,2868,-5844,6180,13712,47,153,51,RESTROOM
172,0,2737,2866,-5676,6244,13528,-60,107,-9,RESTROOM
173,0,2750,2878,-5624,6156,13384,-66,1,101,RESTROOM
174,0,2745,2871,-5748,6076,13540,-62,86,-2,RESTROOM
175,0,2742,2867,-5884,6304,13760,18,47,4,RESTROOM
176,2800,3717,2522,-8740,4348,12236,-696,-845,-35,PAIN
177,2768,3715,2516,-7188,5020,13256,-446,-724,657,PAIN
178,2753,3729,2535,-7556,4828,13680,125,-300,544,PAIN
179,2731,3728,2590,-6340,6000,14040,320,-1055,-356,PAIN
180,2743,3735,2618,-6264,5296,13484,-589,-290,293,PAIN
181,2751,3726,2628,-6272,5292,13896,-81,29,134,PAIN
182,2791,3703,2629,-6400,5288,13936,-234,-101,240,PAIN
183,2799,3711,2625,-6504,4984,13752,-228,188,110,PAIN
184,2812,3709,2633,-6372,5004,13872,-232,55,97,PAIN
185,2839,3711,2640,-6256,4732,14040,-9,221,-26,PAIN
186,2834,3714,2639,-6456,4792,13728,15,17,71,PAIN
187,2835,3729,2640,-6416,4644,14016,152,1,143,PAIN
188,2845,3722,2644,-6328,4760,13964,42,73,178,PAIN
189,2849,3731,2642,-6412,4716,13956,158,-52,75,PAIN
190,2864,3717,2642,-6288,4796,14096,-20,-9,257,PAIN
191,2847,3719,2647,-6272,4816,13908,-19,-7,138,PAIN
192,2842,3725,2650,-6108,4772,13920,23,86,35,PAIN
193,2869,3727,2647,-6068,4952,14044,-104,10,58,PAIN
194,2850,3728,2640,-6080,4716,13960,-66,9,33,PAIN
195,2863,3727,2637,-6352,4552,14268,-88,65,55,PAIN
196,2864,3710,2649,-6376,4436,14096,295,2,283,PAIN
197,2861,3702,2613,-6356,4476,14140,-167,32,13,PAIN
198,2851,3689,2645,-6220,4548,13988,125,123,161,PAIN
199,2842,3696,2634,-6316,4436,14040,-228,177,47,PAIN
200,2850,3694,2640,-6276,4552,14132,-61,-58,138,PAIN
